X,Y,id_propi,POBLADO,PROVINCIA,ANYO,coord_X,coord_Y,1945,1956,2014
419881.8081,4115385.162,95,Fuensanta,Granada,1956,-3.90258592,37.18147032,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/95.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/95.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/95.jpeg
201193.7077,4720005.13,96,Fuentes Nuevas,León,1956,-6.64073254,42.57461047,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/96.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/96.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/96.jpeg
639681.855,4711364.532,97,Gabarderal,Navarra,1959,-1.2988885,42.54205033,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/97.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/97.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/97.jpeg
270489.3337,4325943.982,98,Gargáligas,Badajoz,1956,-5.65225272,39.05243945,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/98.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/98.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/98.jpeg
363891.7412,4657393.555,99,Gascón de la Nava,Palencia,1959,-4.64491028,42.05681712,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/99.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/99.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/99.jpeg
158238.3645,4315376.376,100,Gévora del Caudillo,Badajoz,1954,-6.94176112,38.92076821,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/100.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/100.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/100.jpeg
782222.1744,4616706.161,101,Gimenells,Lleida,1945,0.38912494,41.65214356,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/101.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/101.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/101.jpeg
369111.8403,4656980.521,102,Grijotas,Palencia,1970,-4.58175519,42.05398524,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/102.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/102.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/102.jpeg
180526.19,4306834.311,103,Guadajira,Badajoz,1955,-6.68124091,38.8523435,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/103.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/103.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/103.jpeg
224150.3114,4067558.342,104,Guadalcacín del Caudillo,Cádiz,1954,-6.08829577,36.71368718,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1945/104.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/1956/104.jpeg,https://raw.githubusercontent.com/medialab-prado/poblados-colonizacion-colonias-penitenciarias/master/img-poblados/2014/104.jpeg
