DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,AGUILAR DE CAMPOO,,Explotación,ESTADO,L. DIAZ-CANEJA,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Gravedad,"48,000","500,000","943,300","895,300","900,000","269,000",000,-,001,"750,000 -",Compuertas. -,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 1),,Explotación,ESTADO,L. DIAZ,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Materiales sueltos homogenea,"7,000","207,500","944,000","937,000","938,000","16,760",000,-,000,-,-,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGUILAR DE CAMPOO (DIQUE DEL COLLADO 2),,Explotación,ESTADO,L. DIAZ,A,31-12-1963,--,0394705,4739000,Hidroeléctrico                                    -  - Riego,-  -,,"546,000","338,000","624,500","700,000",,Materiales sueltos homogenea,"10,500","325,000","944,000","933,500","934,500","54,540",000,-,000,-,-,,PISUERGA,AGUILAR DE CAMPOO,DUERO
,AGULO,LA PALMI,Explotación,AUTONOMIA CANARIAS,F. ASCANIO MONTEMAYOR,,31-12-1958,--,-904239,3201160,Riego                                             -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"25,000","139,000","545,850","520,850","520,850","16,740",000,-,001,"10,000 -","No, Labio fijo -",,PALMITA,AGULO,TENERIFE
,"AGUZADERA, LA",,Explotación,"MANTESUR ANDEVALO, S.L.",EPTISA,,31-12-1999,--,0180169,4182457,Industrial                                        -  -,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"104,500","2169,000","373,000","268,500","268,500","580,000",000,-,000,-,-,,AGUZADERA (BARRANCO AGUZADERA),"CAMPILLO, EL",C. ATLÁNTICA ANDALUZA
,AHIGAL,MADROÑERA,Explotación,"JUNTA DE EXTREMADURA, C.A.C.",R. SEGURA,A,31-12-1986,--,0227340,4456455,Riego                                             -  -,-  -,,"73,000","28,000","793,000","132,000",,Materiales sueltos homogenea,"18,900","478,200","389,500","370,600","374,650","120,290",001,"0,000 -",001,"132,000 -","No, Labio fijo -",,PALOMERO,AHIGAL,TAJO
,AIGUAMOIX,ARTIES,Explotación,"ENDESA GENERACIÓN, S.A.",J. SERRANO,A,31-12-1969,--,0821262,4734445,Hidroeléctrico                                    -  - Regulación,-  -,,"35,700","31,000","1471,000","240,000",,Materiales sueltos P Lámina,"25,900","109,000","1422,740","1396,840","1402,740","59,000",001,"22,000 -",001,"242,000 -","No, Labio fijo -",,AIGUA MOIX,ALTO ARAN,EBRO
,AIXOLA,,Explotación,CONSORCIO DE AGUAS DE GUIPUZCOA,F. URQUIA,,31-12-1981,--,0539971,4779033,Abastecimiento                                    -  -,-  -,,"7,600","5,000","1400,000","80,000",,Materiales sueltos P hormigón,"50,000","195,000","310,500","260,000","262,000","375,000",000,-,001,"80,000 -","No, Labio fijo -",,AIXOLA (REGATA AIXOLA),ZALDIBAR,C.I. PAÍS VASCO
,ALANGE,,Explotación,ESTADO,M. BARRAGAN,A,31-12-1992,--,0215977,4298458,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"2545,000","224,000","573,000","2118,000",,Gravedad,"67,350","720,000","278,980","211,630","225,250","563,830",001,"0,000 -",001,"1178,800 -",Compuertas. -,,MATACHEL,ALANGE,GUADIANA
,ALARCON,,Explotación,ESTADO,J.L DE ELIO,A,30-09-1955,--,0576382,4380018,Regulación                                        -  - Riego,-  -,,"3033,000","518,000","490,000","1700,000",,Gravedad,"67,000","317,000","814,000","747,000","752,200","229,630",001,"70,000 -",001,"1750,000 -",Compuertas. -,,JUCAR,ALARCON,JÚCAR
,ALBA,,Explotación,DIPUTACION PROVINCIAL DE BURGOS,J.A. MARIN MATEO,A,31-12-1995,--,0474039,4690897,Abastecimiento                                    -  - Riego,-  -,,"28,000","8,600","880,000","62,440",,Gravedad,"45,000","211,450","1013,000","968,000","973,000","65,000",001,"18,000 -",001,"60,000 -","No, Labio fijo -",,OCA,VILLAFRANCA MONTES DE OCA,EBRO
,ALBARELLOS,,Explotación,UNION FENOSA GENERACION S.A.,L. YORDI,A,31-12-1971,--,0072342,4707347,Hidroeléctrico                                    -  -,-  -,,"214,000","410,000","1400,000","640,000",,Bóveda,"90,000","285,000","267,000","177,000","183,000","217,000",001,"158,000 -",001,"634,000 -",Compuertas. -,,AVIA,LEIRO Y BOBORAS,NORTE
,ALBIÑA,ALBINA,Explotación,AGUAS MUNICIPALES DE VITORIA S.A.,E. BECERRIL,A,31-12-1945,--,0530325,4762330,Abastecimiento                                    -  -,-  -,,"10,800","0,000","0,000","50,000",,Gravedad,"26,000","128,000","609,500","583,500","0,000","29,950",001,"1,900 -",001,"50,000 -",Compuerta vert -,,ALBIÑA,"VILLARREAL, VITORIA",EBRO
,ALBUERA CASABAYA,,Explotación,AYUNTAMIENTO DE JEREZ DE LOS CABALLEROS,,B,01-01-1693,--,0168108,4247516,Recreo                                            -  -,-  -,,"0,000","0,000","0,000","18,000",,Gravedad,"16,770","92,000","350,120","333,350","333,350","6,000",001,"1,900 -",001,"1,000 -","No, Labio fijo -",,CASABAYA,JEREZ DE LOS CABALLEROS,GUADIANA
,ALBUERA DE FERIA,,Explotación,AYUNTAMIENTO DE ALMENDRALEJO,J. OZORES (RTO),,01-01-1747,01-01-1950,0188245,4271109,Abastecimiento                                    -  -,-  -,,"0,000","0,000","0,000","0,000",,Gravedad y Contrafuertes,"23,500","149,000","417,600","394,100","395,200","12,000",000,-,001,"45,000 -",Compuertas. -,,FERIA,"PARRA, LA Y FERIA",GUADIANA
,ALBUERA SAN JORGE,,Explotación,MANUEL PABLOS MATEO,J. GARCIA TRIPA,,31-12-1577,--,0266283,4404414,Riego                                             -  -,-  -,,"279,000","0,000","0,000","0,000",,Gravedad y Contrafuertes,"11,000","143,800","355,250","344,250","0,000","1,000",000,-,001,"3,000 -","No, Labio fijo -",,ALBUERA,TRUJILLO,TAJO
,ALCALA DEL RIO,,Explotación,"ENDESA GENERACIÓN, S.A.- U.P.H. SUR",C. MENDOZA,C,31-12-1930,--,0237100,4156800,Hidroeléctrico                                    -  - Riego,-  -,,"46860,000","0,000","0,000","8000,000",,Gravedad,"23,350","204,500","15,350","8,000-","1,500","21,500",000,-,001,"8000,000 -",Compuertas. -,,GUADALQUIVIR,ALCALA DEL RIO,GUADALQUIVIR
,ALCANTARA I,,Explotación,AYUNTAMIENTO DE ALCANTARA,S. CANALS,,01-01-1946,--,0168036,4400288,Abastecimiento                                    -  -,-  -,,"54,000","0,000","0,000","141,000",,Gravedad,"14,000","177,000","160,800","146,800","148,500","4,880",000,-,001,"92,000 -","No, Labio fijo -",,JARTIN,ALCANTARA,TAJO
