DATOS GENERALES,Nombre de la Presa:,Otro Nombre:,En fase de:,Titular de la presa:,Proyectista:,Categoría según riesgo:,Fin de las obras:,Recrecimiento:,X utm 30,Y utm 30,Usos del embalse:,Usuarios:,DATOS HIDROLÓGICOS,Superficie de la cuenca (km2):,Aportación media anual (hm3):,Precipitación media anual (mm):,Avenida de Proyecto (m3/s):,PRESA,Tipo de Presa:,Altura desde cimientos (m):,Longitud de coronación (m):,Cota coronación (m):,Cota cimentación (m):,Cota cauce (m):,Volumen cuerpo presa (1000 m3):,Nº de desagües:,Capacidad desagüe (m3/s):,Nº de aliviaderos:,Capacidad aliviaderos (m3/s):,Regulación:,DATOS GEOGRÁFICOS,Rio de ubicación:,Municipio:,Vertiente:
,BETIES I,,Explotación,S.A.T. LA ROMANA,ENRIQUE CIFRES,,31-12-1995,--,0689525,4251560,Riego                                             -  -,-  -,,"20,000","0,000","0,000","9135,000",,Materiales sueltos P Lámina,"32,000","232,000","167,000","135,000","146,000","140,000",000,-,001,"0,000 -",Compuertas. -,,SIN RIO,NOVELDA,JÚCAR
,BEZNAR,,Explotación,JUNTA DE ANDALUCÍA,JUAN LÓPEZ MARTOS,A,31-12-1986,--,0452243,4085643,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"352,000","56,500","680,000","535,000",,Bóveda,"134,000","408,000","488,800","354,800","379,000","485,000",002,"44,000 - 16,000",001,"321,000 -","No, Labio fijo -",,IZBOR,"PINAR, EL",C. MEDITERRANEA ANDALUZA
,BISCARRUES,,Construcción,ESTADO,M. ZUECO RUIZ / INTECSA,A,--,--,0684890,4678660,Hidroeléctrico                                    -  - Riego,-  -,,"1964,500","986,000","0,000","2228,000",,Materiales sueltos núcleo arcilla,"84,000","1175,000","487,000","403,000","415,000","5011,000",001,"149,000 -",001,"2031,000 -",Compuertas. -,,GALLEGO,"BISCARRUES, STA. EULALIA GALLEGO",EBRO
,BOADELLA,,Explotación,GENERALITAT DE CATALUÑA,E. PINEDO,A,01-01-1968,--,0981045,4704281,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"182,000","64,300","963,000","1175,000",,Gravedad,"62,980","250,000","160,000","97,020","106,010","160,000",001,"45,210 -",001,"748,000 -",Compuertas. -,,MUGA,DARNIUS,C.I. CATALUÑA
,BOADELLA (DIQUE DIQUE MOLA TRUNCADA),,Explotación,GENERALITAT DE CATALUÑA,E-PINEDO,A,01-01-1965,--,0980495,4703933,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"4,000","71,800","160,000","151,700","155,600","2,100",000,-,000,-,-,,MUGA,DARNIUS,C.I. CATALUÑA
,BOADELLA (ELS FANGOTS),,Explotación,GENERALITAT DE CATALUÑA,E-PINEDO,A,01-01-1965,--,0981045,4704281,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"4,750","170,000","160,000","155,280","157,250","2,400",000,-,000,-,-,,MUGA,DARNIUS,C.I. CATALUÑA
,BODON DE LA IBIENZA,,Explotación,JUAN FRUTOS GARCIA S.A.,J-COBELAS SCHWARTZ,,31-12-1967,--,0403360,4572135,Hidroeléctrico                                    -  -,-  -,,"0,000","0,000","0,000","0,000",,Arco Gravedad,"10,000","64,000","840,000","830,000","832,000","0,770",000,-,001,"83,000 -","No, Labio fijo -",,CEGA,LASTRAS DE CUELLAR,DUERO
,BOLARQUE,,Explotación,UNION FENOSA GENERACION S.A.,EPTISA (RTO),A,31-12-1910,01-01-1984,0515458,4468208,Hidroeléctrico                                    -  - Riego,-  -,,"7430,000","1273,000","542,000","2000,000",,Gravedad,"36,000","292,000","643,000","607,000","610,000","160,000",001,"70,000 -",001,"1700,000 -",Compuertas. -,,TAJO,PASTRANA Y ALMONAZID DE ZORITA,TAJO
,BOLASO,,Explotación,AYUNTAMIENTO DE EJEA DE LOS CABALLEROS,,,31-12-1949,--,0650275,4671015,Recreo                                            -  -,-  -,,"0,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"7,000","300,000","0,000","0,000","0,000","34,120",000,-,000,-,-,,SIN RIO,EJEA DE LOS CABALLEROS,EBRO
,"BOLERA, LA",,Explotación,ESTADO,A. MORENO TORRES,A,31-12-1967,--,0508720,4179585,Abastecimiento                                    -  - Riego,-  -,,"163,000","0,000","0,000","600,000",,Gravedad,"48,000","108,000","973,000","925,000","935,000","36,630",001,"34,000 -",001,"500,000 -",Compuertas. -,,GUADALENTÍN,POZO ALCON,GUADALQUIVIR
,BOLIVAR,,Explotación,CONSORCIO DE AGUAS DE GUIPUZCOA,F. URQUIA,,31-12-1978,--,0538930,4761385,Abastecimiento                                    -  -,-  -,,"9,760","0,000","0,000","0,000",,Gravedad,"8,000","20,150","392,000","384,000","385,000","0,300",000,-,001,"8,000 -","No, Labio fijo -",,BOLIVAR (REGATA BOLIVAR),ESCORIAZA,C.I. PAÍS VASCO
,BOQUERON,,Explotación,ESTADO,J. BARRAU,A,31-12-1987,--,0204383,4339205,Abastecimiento                                    -  - Riego,-  -,,"22,000","5,100","600,000","169,000",,Gravedad,"24,000","142,000","332,000","308,000","0,000","16,500",001,"0,000 -",001,"25,000 -","No, Labio fijo -",,"ROSAL, EL",CORDOBILLA DE LACARA,GUADIANA
,"BOQUERON, EL",,Explotación,AYUNTAMIENTO DE RIOLOBOS,E-GONZALEZ ZAMORA,,31-12-1983,--,0220032,4423606,Abastecimiento                                    -  -,-  -,,"66,250","13,000","500,000","142,000",,Materiales sueltos homogenea,"14,000","73,500","286,500","272,500","275,600","3,400",000,-,001,"142,000 -","No, Labio fijo -",,BOQUERON,RIOLOBOS,TAJO
,BORBOLLON,,Explotación,ESTADO,R. CATENA - J. CANADELL,A,31-12-1954,--,0194910,4447965,Hidroeléctrico                                    -  - Riego,-  -,,"340,000","171,000","1235,000","733,000",,Gravedad,"35,000","225,000","315,050","280,050","291,050","79,800",001,"0,000 -",001,"844,000 -",Compuertas. -,,ARRAGO,SANTIBAÑEZ EL ALTO,TAJO
,BORBOLLON (DERIVACION) - ARRAGO,,Explotación,ESTADO,J. CANADELL,A,01-01-1954,--,0193425,4446810,Riego                                             -  -,-  -,,"340,000","171,000","1235,000","733,000",,Gravedad,"17,000","178,000","295,750","285,750","285,750","20,130",000,-,001,"900,000 -",Compuertas. -,,ARRAGO,SANTIBAÑEZ EL ALTO,TAJO
,BOREN,ESTERRI,Explotación,ENDESA GENERACION S.A.,P. DURAN FARRELL,A,30-11-1958,--,0835420,4730851,Hidroeléctrico                                    -  -,-  -,,"203,070","113,500","1260,000","470,000",,Gravedad,"33,500","98,000","1097,500","1064,000","1068,000","12,350",001,"17,000 -",001,"496,000 -",Compuertas. -,,NOGUERA PALLARESA,ALT ANEU,EBRO
,BORNOS,,Explotación,JUNTA DE ANDALUCÍA,V-CAMPOS GUERETA,A,01-01-1961,--,0253744,4075482,Hidroeléctrico                                    -  - Riego,-  -,,"1344,000","0,000","0,000","1400,000",,Gravedad,"59,100","164,100","108,500","49,400","63,500","133,000",002,"30,200 - 16,020",001,"1400,000 -",Compuertas. -,,GUADALETE,BORNOS,C. ATLÁNTICA ANDALUZA
,"BOYERIL 2, EL",,Explotación,MARIANO LOPEZ RODRIGUEZ,E-RODRIGUEZ,B,01-01-1965,--,0274235,4419290,Riego                                             -  -,-  -,,"12,000","0,000","225,000","117,000",,Gravedad,"9,000","62,100","273,000","264,000","266,700","0,000",001,"0,000 -",001,"12,000 -","No, Labio fijo -",,ARROYO MANCO,CASATEJADA,TAJO
,BRAMATUERO INFERIOR,BRAMATUERO BAJO,Explotación,ENERGIAS DE ARAGON II S.L.,EPTISA,C,31-12-1957,--,0727416,4741638,Hidroeléctrico                                    -  -,-  -,,"1,000","0,000","0,000","34,000",,Gravedad,"8,000","77,000","2292,000","2284,000","2284,000","0,410",000,-,001,"34,000 -","No, Labio fijo -",,CALDARES,PANTICOSA,EBRO
,BRAMATUERO SUPERIOR,BRAMATUERO ALTO,Explotación,ENERGIAS DE ARAGON S.A.,EPTISA,A,31-12-1961,--,0729362,4741240,Hidroeléctrico                                    -  -,-  -,,"3,100","0,000","0,000","24,000",,Gravedad,"22,300","51,000","2537,250","2514,950","2518,000","0,460",000,-,001,"24,000 -","No, Labio fijo -",,CALDARES,PANTICOSA,EBRO
,BRANDARIZ,,Construcción,"EUFER RENOVABLES IBERICAS 2004, S.A.",PELAYO BAZTÁN,,--,--,0067515,4754593,Hidroeléctrico                                    -  -,-  -,,"0,000","0,000","0,000","1100,000",,Gravedad,"37,000","115,000","177,000","140,000","145,000","40,000",001,"0,000 -",001,"1100,000 -","No, Labio fijo -",,ULLA,TOURO Y VILA DE CRUCES,NORTE
,BRAZATO,,Explotación,ENERGIAS DE ARAGON S.A.,EPTISA,A,31-12-1942,--,0728155,4737060,Hidroeléctrico                                    -  -,-  -,,"2,400","0,590","1352,000","10,000",,Gravedad,"30,200","90,000","2395,700","2375,700","2384,890","3,200",000,-,001,"12,000 -","No, Labio fijo -",,BARRANCO DE BRAZATO Y CALDARES,PANTICOSA,EBRO
,BRAZATO (DIQUE DEL COLLADO),,Explotación,ENERGIAS DE ARAGON S.A.,EPTISA,A,31-12-1942,--,0728313,4737192,Hidroeléctrico                                    -  -,-  -,,"2,400","0,590","1352,000","10,000",,Gravedad,"10,000","79,300","2395,700","2385,700","2387,700","2,000",000,-,000,-,-,,AFLUENTE DEL RÍO CALDARES,PANTICOSA,EBRO
,BREMUDO (ARROYO),,Explotación,BALTASAR TAPIA VICENTE,E. GLEZ. ZAMORA,,01-01-1974,--,0288391,4434190,Riego                                             -  -,-  -,,"0,000","0,000","0,000","9,000",,Materiales sueltos homogenea,"6,350","340,000","421,250","414,900","415,900","13,550",000,-,001,"9,000 -","No, Labio fijo -",,BREMUDO,MONROY,TAJO
,BREMUDO (ARROYO) (DIQUE DEL COLLADO),,Explotación,BALTASAR TAPIA VICENTE,E. GLEZ. ZAMORA,,01-01-1974,--,0288391,4434190,Riego                                             -  -,-  -,,"0,000","0,000","0,000","9,000",,Materiales sueltos homogenea,"3,250","297,000","421,250","418,000","418,800","6,960",000,-,000,-,-,,BREMUDO,MONROY,TAJO
,"BREÑA II, LA",,Construcción,ESTADO,A. PASTOR TURULLOLS,A,--,--,0320245,4188840,Hidroeléctrico                                    -  - Riego,-  -,,"0,000","0,000","0,000","0,000",,Gravedad,"125,000","668,000","185,000","60,000","75,000","1590,000",002,"79,210 - 110,880",001,"682,000 -",Construcción -,,GUADIATO,ALMODOVAR DEL RIO,GUADALQUIVIR
,"BREÑA, LA",,Explotación,ESTADO,E. ROJAS MARCOS,A,01-12-1935,--,0320213,4188863,Hidroeléctrico                                    -  -,-  -,,"470,000","160,000","0,000","1080,000",,Gravedad,"54,400","207,150","125,000","70,600","76,600","133,750",001,"117,000 -",001,"1080,000 -","No, Labio fijo -",,GUADIATO,ALMODOVAR DEL RIO,GUADALQUIVIR
,"BRONCO, EL",,Explotación,ESTADO,E-CASTRO,B,01-01-1977,--,0215591,4459905,Abastecimiento                                    -  -,-  -,,"14,920","6,000","0,000","150,000",,Gravedad,"21,550","179,000","465,550","444,000","447,450","9,590",001,"0,000 -",001,"150,000 -","No, Labio fijo -",,ARROYO DEL BRONCO,SANTA CRUZ DE PANIAGUA,TAJO
,BROVALES,,Explotación,JUNTA DE EXTREMADURA,G-VALERO,,01-01-1960,--,0176798,4251307,Riego                                             -  -,-  -,,"203,000","0,000","0,000","0,000",,Contrafuertes,"25,000","503,000","305,300","280,300","288,000","17,840",000,-,001,"646,000 -",Compuertas. -,,BROVALES,JEREZ DE LOS CABALLEROS,GUADIANA
,BROZAS II,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",EUROESTUDIOS  -  HIMEXSA,B,01-01-1959,01-02-1993,0180311,4392233,Abastecimiento                                    -  -,-  -,,"7,000","1,330","593,000","28,900",,Gravedad,"12,400","557,200","396,400","384,000","385,000","11,208",001,"1,460 -",001,"21,100 -","No, Labio fijo -",,ARROYO DE LOS PATOS,BROZAS,TAJO
,BUBAL,,Explotación,ESTADO,"BODEGA, CERDA Y CONEJOS",A,31-12-1971,--,0720079,4729203,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"305,500","382,000","1352,000","800,000",,Arco Gravedad,"90,000","195,000","1088,000","998,000","1010,000","198,000",002,"46,200 - 46,200",001,"800,000 -",Compuerta sect -,,GALLEGO,"HOZ DE JACA, BIESCAS",EBRO
,BUENAMESON (AZUD),,Explotación,UNION FENOSA GENERACION S.A.,,C,01-01-1960,--,0482850,4437025,Hidroeléctrico                                    -  -,-  -,,"8500,000","0,000","0,000","2077,000",,Gravedad,"6,200","153,250","534,280","528,080","0,000","0,000",001,"0,000 -",001,"1600,000 -","No, Labio fijo -",,TAJO,VILLAMANRIQUE DE TAJO / VILLAREJO DE SALVANES,TAJO
,BUENAS HIERBAS,,Explotación,JUNTA DE  ANDALUCIA,L-ESTEVEZ,,01-01-1979,--,0377201,4247319,Riego                                             -  -,-  -,,"4,000","6,000","823,000","218,000",,Gravedad y Materiales sueltos homogenea,"18,800","284,000","635,000","616,200","619,000","141,540",000,-,001,"155,000 -","No, Labio fijo -",,BUENAS HIERBAS,CARDEÑA,GUADIANA
,BUENDIA,,Explotación,ESTADO,B. JIMENEZ APARICIO,A,31-12-1958,--,0518151,4472223,Hidroeléctrico                                    -  -,-  -,,"3256,000","565,000","641,000","2000,000",,Gravedad,"78,700","315,080","714,280","635,580","641,750","496,475",001,"291,000 -",001,"2000,000 -",Compuerta sect -,,GUADIELA,BUENDIA,TAJO
,"BUJEDA, LA",,Explotación,ESTADO,EPTISA,A,01-01-1976,--,0514176,4454947,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"41,400","359,000","907,500","866,100","871,300","389,200",000,-,000,-,-,,SIN NOMBRE DEFINIDO,ALMONACID DE ZORITA,TAJO
,"BUJEDA, LA (DIQUE DEL COLLADO 1)",,Explotación,ESTADO,EPTISA,C,01-01-1976,--,0513942,4453868,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"16,000","109,000","907,500","891,500","896,500","37,930",000,-,000,-,-,,SIN NOMBRE DEFINIDO,ALMONACID DE ZORITA,TAJO
,"BUJEDA, LA (DIQUE DEL COLLADO 2)",,Explotación,ESTADO,EPTISA,C,01-01-1976,--,0514768,4454024,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1,000","0,000","0,000","0,000",,Materiales sueltos homogenea,"13,000","97,050","907,500","894,500","896,070","30,700",000,-,000,-,-,,SIN NOMBRE DEFINIDO,ALMONACID DE ZORITA,TAJO
,"BUJIOSO, EL",,Explotación,IBERDROLA GENERACION S.A.,OSCAR LUCIRICA,C,01-01-1912,--,0617102,4400176,Hidroeléctrico                                    -  -,-  -,,"1219,000","0,000","0,000","522,000",,Gravedad,"10,700","76,000","802,500","791,800","0,000","8,000",001,"90,000 -",001,"0,000 -",Compuertas. -,,CABRIEL,VILLORA,JÚCAR
,BURGOMILLODO,,Explotación,UNION FENOSA GENERACION S.A.,E. BECERRIL - J. HERNANDEZ,A,31-12-1953,--,0426088,4576803,Hidroeléctrico                                    -  -,-  -,,"260,000","114,000","610,000","600,000",,Gravedad,"44,000","114,000","877,300","833,300","839,000","33,000",001,"0,000 -",002,"100,000 - 400,000","No, Labio fijo - Compuertas.",,DURATON,CARRASCAL DEL RIO,DUERO
,"BURGUILLO, EL",,Explotación,ESTADO,E. BECERRIL Y A. PERALBA,A,01-01-1913,01-01-1931,0370025,4476275,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"1050,000","458,600","915,000","1600,000",,Gravedad,"91,500","300,000","730,000","638,500","652,500","287,220",001,"84,800 -",001,"1175,000 -",Compuertas. -,,ALBERCHE,"TIEMBLO, EL",TAJO
,BURGUILLOS DEL CERRO,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",EUROESTUDIOS,A,01-10-1993,--,0185093,4256624,Abastecimiento                                    -  -,-  -,,"22,800","3,970","650,000","57,200",,Hormigón Compactado,"27,500","167,250","470,300","442,800","446,800","30,097",001,"11,650 -",001,"21,500 -","No, Labio fijo -",,ARROYO RIVERA DE LOS MONTES,BURGUILLOS DEL CERRO,GUADIANA
,BUSEO,LA ROMANA,Explotación,"FUNDACION MEDIOAMBIENTAL DE LA COMUNIDAD VALENCIANA ""BUSEO""",C.H. JUCAR,,31-12-1912,--,0677100,4385130,Riego                                             -  -,-  -,,"248,000","0,000","0,000","253,000",,,"50,000","125,000","480,000","430,000","440,000","27,640",001,"60,000 -",001,"0,000 -","No, Labio fijo -",,RIO LOBO,CHERA,JÚCAR
,CABANELAS (AZUD),,Explotación,UNION FENOSA GENERACION S.A.,,C,20-01-1961,--,0078288,4708534,Hidroeléctrico                                    -  -,-  -,,"160,000","0,000","0,000","441,000",,Gravedad,"6,000","45,500","319,000","313,000","313,000","0,000",000,-,001,"0,000 -","No, Labio fijo -",,ARENTERIO (AVIA),BOBORAS/CARBALLINO,NORTE
,CABO VERDE,,Explotación,CDAD. EMBALSES MOYA,J-ALONSO URQUIJO,,01-01-1960,--,-741364,3176969,Riego                                             -  -,-  -,,"0,720","0,000","0,000","0,000",,Gravedad,"15,000","99,000","195,000","180,000","180,000","7,650",000,-,000,-,-,,LOMO BLANCO,MOYA,LAS PALMAS
,CABRIANA,,Explotación,IBERDROLA GENERACION S.A.,,A,01-01-1959,--,0501756,4728076,Hidroeléctrico                                    -  -,-  -,,"5,336","64,230","0,000","1220,000",,Gravedad,"9,170","173,640","466,100","456,930","458,000","0,000",001,"90,000 -",001,"0,000 -",Compuerta segm -,,EBRO,MIRANDA DE EBRO,EBRO
,"CABRIL, EL",,Explotación,ENRESA,ESTADO,C,31-12-1954,--,0288399,4214614,Abastecimiento                                    -  - Industrial,-  -,,"0,000","0,000","0,000","930,000",,Gravedad,"25,100","80,000","239,100","214,000","216,600","0,000",002,"0,800 - 3,200",001,"930,000 -","No, Labio fijo -",,BEMBEZAR,HORNACHUELOS,GUADALQUIVIR
,CACHAMUIÑA,,Explotación,AYUNTAMIENTO DE OURENSE. AQUAGEST,R-INARAJA Y J. OLAIZOLA,A,31-12-1954,--,0104203,4698627,Abastecimiento                                    -  -,-  -,,"122,000","0,000","0,000","200,000",,Gravedad,"19,650","124,000","324,810","305,160","308,160","6,510",001,"11,000 -",001,"200,000 -",Compuertas. -,,LOÑA,PEREIRO DE AGUIAR,NORTE
,"CAIDERILLOS, LOS",,Explotación,J. GONZALEZ ROMERO,J-HERNANDEZ RAMOS,,01-01-1945,--,-740694,3176302,Riego                                             -  -,-  -,,"0,990","0,000","0,000","0,000",,Gravedad,"21,000","90,000","270,000","249,000","250,000","10,000",000,-,000,-,-,,CAIDERILLOS,MOYA,LAS PALMAS
,CAIDERO DE LA NIÑA,,Explotación,COMUNIDAD DE REGANTES DE ALDEA S. NICOLAS,LUIS DE CASA CALZADA,,01-01-1957,--,-758260,3161560,Riego                                             -  -,-  -,,"103,510","1,000","255,000","717,000",,Gravedad,"62,000","124,000","206,000","144,000","160,000","77,580",000,-,001,"716,000 -","No, Labio fijo -",,BARRANCO ALDEA,ARTENARA,LAS PALMAS
,CALA,,Explotación,SEVILLANA DE ELECTRICIDAD,SEVILLANA ELECTRICIDAD,A,31-12-1927,--,0227505,4179246,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"525,000","0,000","0,000","925,000",,Gravedad,"52,950","346,000","281,870","228,920","231,850","113,400",001,"0,000 -",002,"144,000 - 668,000",Compuertas. - Compuertas.,,RIVERA DE CALA,"RONQUILLO, EL",GUADALQUIVIR
,CALABAZAL,,Explotación,U. ESPAÑOLA EXPLOSIVOS RIOTINTO,J-ALBELDA Y M. BELLIDO,,31-12-1908,--,0158057,4169211,Industrial                                        -  -,-  -,,"13,000","0,000","0,000","0,000",,Gravedad,"23,900","59,000","160,000","136,100","138,000","5,000",000,-,001,"15,000 -","No, Labio fijo -",,CALABAZAL,CALAÑAS,GUADIANA
,CALABOZO,,Explotación,F. HERNANDEZ SUAREZ,,,01-01-1952,--,-744664,3175928,Riego                                             -  -,-  -,,"3,460","0,000","0,000","0,000",,Gravedad,"30,000","75,000","421,000","391,000","391,000","45,000",000,-,001,"1,790 -","No, Labio fijo -",,BARRANCO CALABOZO,GUIA DE GRAN CANARIA,LAS PALMAS
,CALANDA,,Explotación,ESTADO,A. ARAOZ - J. FDEZ. MORENO,A,31-12-1982,--,0734725,4533415,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"2691,000","205,000","400,000","1650,000",,Materiales sueltos núcleo arcilla,"63,500","250,000","443,500","380,000","385,000","1040,000",001,"163,000 -",001,"1150,000 -",Compuertas. -,,GUADALOPE,CALOMARDE/CALANDA,EBRO
,"CALLEJON, EL",,Explotación,SDAD. REPRESAS TRAPICHE,M-GONZALEZ,,11-07-1940,--,-738920,3173865,Riego                                             -  -,-  -,,"0,590","0,000","0,000","0,000",,Gravedad,"24,000","120,000","410,000","386,000","390,000","11,740",000,-,001,"7,547 -","No, Labio fijo -",,BARRANCO CALLEJON,FIRGAS,LAS PALMAS
,CALZADILLA,,Explotación,"JUNTA DE EXTREMADURA, C.O.P.T",,A,01-01-1961,--,0198665,4442951,Abastecimiento                                    -  -,-  -,,"2,120","0,000","0,000","0,000",,Materiales sueltos núcleo arcilla,"9,700","176,300","372,700","363,000","364,000","0,000",001,"0,000 -",001,"20,100 -",Compuertas. -,,ARROYO LAS PEDRERAS,CALZADILLA,TAJO
,CAMARASA,,Explotación,"ENDESA GENERACIÓN, S.A.",N. AMIGO - A. BILLINGS,A,31-12-1920,--,0822884,4647118,Hidroeléctrico                                    -  - Riego,-  -,,"2850,000","1533,000","0,000","1920,000",,Gravedad,"103,000","215,900","337,170","234,170","260,000","218,000",000,-,001,"2000,000 -",Compuertas. -,,NOGUERA PALLARESA,CAMARASA,EBRO
,CAMARILLAS,,Explotación,ESTADO,E-SAIZAR,A,31-12-1961,--,0618225,4244630,Defensa frente a avenidas                         -  - Regulación,-  -,,"1603,000","143,000","265,800","428,000",,Gravedad,"43,500","32,000","350,320","306,820","314,320","15,920",002,"41,100 - 41,100",002,"154,200 - 174,000",Compuerta sect - Compuertas.,,MUNDO,HELLIN,SEGURA
,CAMEIJA / VIÑAO (AZUD),,Explotación,UNION FENOSA GENERACION S.A.,L-YORDI,C,31-12-1972,--,0074246,4710463,Hidroeléctrico                                    -  -,-  -,,"138,800","151,000","1400,000","514,000",,Gravedad,"14,600","27,000","276,500","261,900","264,900","2,500",001,"0,000 -",001,"8,000 -","No, Labio fijo -",,VIÑAO,BOBORAS,NORTE
,CAMINOMORISCO,,Explotación,AYUNTAMIENTO DE CAMINOMORISCO,C-CARBAJO,,31-12-1985,--,0219200,4471491,Abastecimiento                                    -  -,-  -,,"6,200","0,000","0,000","0,000",,Gravedad,"21,000","92,000","628,000","607,000","613,000","0,000",001,"0,000 -",001,"32,000 -","No, Labio fijo -",,ARROYO ALAVEA,CAMINOMORISCO,TAJO
,CAMPANARIO,,Explotación,JUNTA DE  ANDALUCIA,J-OCHOA PARIAS,,31-12-1911,--,0161249,4160692,Adecuación Ambiental                              -  - Recreo,-  -,,"10,000","0,000","0,000","0,000",,Gravedad,"25,000","121,750","128,000","103,000","111,000","6,870",000,-,001,"41,000 -","No, Labio fijo -",,PAJARRON,"VALVERDE DEL CAMINO, BEAS",GUADIANA
,"CAMPAÑANA, LA",,Explotación,ENDESA GENERACION S.A.,A-ALVAREZ Y C.G. CAFFARENA,A,31-12-1963,--,0190019,4712151,Hidroeléctrico                                    -  -,-  -,,"10,070","866,000","0,000","78,000",,Gravedad,"50,000","175,000","528,350","478,350","486,000","70,000",001,"9,600 -",001,"116,000 -","No, Labio fijo -",,AYO. BALEN,CARUCEDO,NORTE
,"CAMPAÑANA, LA (DIQUE DEL COLLADO 1)",,Explotación,ENDESA GENERACION S.A.,A-ALVAREZ Y C.G. CAFFARENA,A,31-12-1963,--,0190019,4712151,Hidroeléctrico                                    -  -,-  -,,"10,070","866,000","0,000","78,000",,Materiales sueltos homogenea,"11,000","250,000","527,800","516,800","521,500","13,000",000,-,000,-,-,,CAMAPAÑANA,CARUCEDO,NORTE
,"CAMPAÑANA, LA (DIQUE DEL COLLADO 2)",,Explotación,ENDESA GENERACION S.A.,A-ALVAREZ Y C.G. CAFFARENA,C,31-12-1963,--,0190019,4712151,Hidroeléctrico                                    -  -,-  -,,"10,070","866,000","0,000","78,000",,Materiales sueltos homogenea,"5,800","60,000","527,700","521,900","523,700","3,000",000,-,000,-,-,,CAMPAÑANA,CARUCEDO,NORTE
,CAMPILLO DE BUITRAGO,,Explotación,ESTADO,J. FDEZ. PUENTE,C,30-09-1969,--,0539483,4631600,Abastecimiento                                    -  - Riego,-  -,,"140,000","230,000","0,000","480,000",,Gravedad,"13,200","87,000","1025,800","1012,600","1018,000","9,740",000,-,001,"480,000 -",Compuertas. -,,DUERO,SORIA Y GARRAY,DUERO
,"CAMPITOS, LOS",,Explotación,AUTONOMIA CANARIAS,R. SANCHEZ,A,31-12-1975,--,-804637,3224199,Abastecimiento                                    -  -,-  -,,"1,260","0,000","0,000","0,000",,Materiales sueltos P hormigón,"54,000","232,800","300,000","246,000","0,000","576,000",000,-,001,"25,000 -","No, Labio fijo -",,ANCHUETA,STA. CRUZ DE TENERIFE,TENERIFE
,CAMPOAMENO,,Explotación,JAIME JUAN LASALA PALA,J.M. HACAR,,01-01-1975,--,0227894,4291927,Riego                                             -  -,-  -,,"3,000","0,000","471,000","16,000",,Materiales sueltos núcleo arcilla,"22,000","317,000","317,000","295,000","299,000","76,600",000,-,001,"16,000 -","No, Labio fijo -",,ARROYO DE LA MORA,OLIVA DE MERIDA,GUADIANA
,CAMPOFRIO,,Explotación,MINAS RIOTINTO,EPTISA (RTO),,31-12-1883,--,0184168,4183846,Abastecimiento                                    -  - Industrial,-  -,,"13,000","0,000","0,000","30,000",,Gravedad,"35,000","116,000","441,970","406,970","412,970","50,000",000,-,001,"13,000 -","No, Labio fijo -",,ARROYO CAMPOFRIO,CAMPOFRIO,GUADIANA
,CAMPORREDONDO,,Explotación,ESTADO,V-VALCARCEL,A,31-12-1930,--,0358239,4751380,Hidroeléctrico                                    -  -,-  -,,"228,000","248,000","1350,000","350,000",,Gravedad,"75,500","160,000","1292,200","1216,700","1224,700","172,400",000,-,002,"0,000 - 488,000",Compuertas. - Compuertas.,,CARRION,VELILLA DEL RIO CARRION,DUERO
,CANAL ROYA,CANALROYA,Explotación,ELECTRICAS REUNIDAS DE ZARAGOZA,C-SANCHO REBULLIDA,C,01-01-1967,--,0704170,4739065,Hidroeléctrico                                    -  -,-  -,,"12,000","0,000","0,000","75000,000",,Gravedad,"15,400","24,000","1338,100","1322,700","1326,150","2,400",000,-,001,"75,000 -","No, Labio fijo -",,CANAL ROYA,CANFRANC,EBRO
,CANALES,,Explotación,ESTADO,GUILLERMO BRAVO / AUXINI,A,31-12-1988,--,0457576,4112888,Abastecimiento                                    -  - Hidroeléctrico,-  -,,"176,000","71,000","1027,000","602,000",,Materiales sueltos núcleo arcilla,"157,500","340,000","965,500","808,000","818,000","7248,000",002,"211,000 - 72,200",001,"502,000 -","No, Labio fijo -",,GENIL,GUEJAR SIERRA,GUADALQUIVIR
,"CANCHALES, LOS",,Explotación,ESTADO,J-BARRAU,A,31-12-1991,--,0194855,4318913,Abastecimiento                                    -  - Riego,-  -,,"292,000","46,700","500,000","628,000",,Hormigón Compactado,"21,000","239,000","226,400","205,400","210,000","51,000",001,"0,000 -",001,"128,000 -","No, Labio fijo -",,LACARA,MONTIJO,GUADIANA
