codpresa,Nombre,Nombre SEPREM,Otro nombre,Fecha,Anyo,Rio,Municipio,Cuenca,Provincia,x,y,Tipos
2240029,BARRIOS DE LUNA,BARRIOS DE LUNA,---,31/12/56,1956,ORBIGO - LUNA (LUNA),"BARRIOS DE LUNA, LOS",DUERO,LEON,266290,4748255,"Abastecimiento, HidroelŽctrico, Riego"
5140040,BEMBEZAR,BEMBEZAR,---,01/01/63,1963,BEMBEZAR,HORNACHUELOS,GUADALQUIVIR,CORDOBA,305740,4197410,"Abastecimiento, HidroelŽctrico, Riego"
8460027,BENAGEBER,BENAGEBER,---,31/12/54,1954,TURIA,BENAGEBER,JUCAR,VALENCIA,663079,4399195,"Abastecimiento, HidroelŽctrico, Riego"
2240030,BENAMARIAS,BENAMARIAS,---,31/12/72,1972,SALGUIRAL,MAGAZ DE CEPEDA,DUERO,LEON,244026,4716999,"Riego, ---, ---"
8030035,BENIARRES,BENIARRES,---,01/04/58,1958,SERPIS,BENIARRES,JUCAR,ALICANTE,729605,4299796,"Riego, ---, ---"
5180023,"BERMEJALES, LOS","BERMEJALES, LOS",---,01/01/58,1958,CACIN,ARENAS DEL REY,GUADALQUIVIR,GRANADA,420700,4095050,"Abastecimiento, HidroelŽctrico, Riego"
10170002,BOADELLA,BOADELLA,---,16/12/69,1969,MUGA,DARNIUS,CUENCAS INTERNAS DE CATALU„A,GERONA,981015,4704322,"Abastecimiento, HidroelŽctrico, Riego"
10170002,BOADELLA,BOADELLA (DIQUE DIQUE MOLA TRUNCADA),---,16/12/69,1969,MUGA,DARNIUS,CUENCAS INTERNAS DE CATALU„A,GERONA,981015,4704322,"Abastecimiento, HidroelŽctrico, Riego"
10170002,BOADELLA,BOADELLA (ELS FANGOTS),---,16/12/69,1969,MUGA,DARNIUS,CUENCAS INTERNAS DE CATALU„A,GERONA,981015,4704322,"Abastecimiento, HidroelŽctrico, Riego"
5230002,"BOLERA, LA","BOLERA, LA",---,31/12/67,1967,GUADALETIN,POZO ALCON,GUADALQUIVIR,JAEN,508658,4179650,"Abastecimiento, Riego, ---"
3100091,BORBOLLON,BORBOLLON,---,10/05/54,1954,ARRAGO,SANTIBA„EZ EL ALTO,TAJO,CACERES,194910,4447965,"HidroelŽctrico, Riego, Adecuaci—n ambiental"
